Transaction Date,Month,Buyer First Name,Buyer Last Name,Full Name,Buyer Location,Buyer Date of Birth,Age,Age Category,Payment Method,Quantity Purchased,Product Code,Biscuit Brand,Cost,Unit Price,Revenue,Total Cost of Goods,Profit,Product Price Category,Sales Representative,Gender
2024-02-06,Feb,Julie,Rowe,Julie Rowe,Dallas,2001-08-13,24,11-30,Mobile Payment,29,Pro08,Peanut Butter Bites,5,7,203,145,58,Low Price,April Watkins,Male
2024-02-08,Feb,Philip,Tucker,Philip Tucker,Houston,1960-10-02,64,50-70,Mobile Payment,83,Pro09,Shortbread,10,45,3735,830,2905,High Price,Travis Doyle,Male
2024-03-10,Mar,Gina,Lewis,Gina Lewis,Phoenix,1954-02-13,71,70above,Debit Card,33,Pro01,Butter Crunch,10,11,363,330,33,High Price,Tracy Lee,Male
2024-04-28,Apr,Kayla,Evans,Kayla Evans,New York,1986-02-10,39,31-50,Credit Card,331,Pro04,Cinnamon Swirls,10,14,4634,3310,1324,High Price,Sara Robertson,Male
2024-03-04,Mar,Derek,Foster,Derek Foster,New York,1974-05-25,51,50-70,Debit Card,26,Pro06,Lemon Crisps,7,9,234,182,52,Low Price,Travis Doyle,Male
2024-05-04,May,Kimberly,Taylor,Kimberly Taylor,Chicago,1994-11-26,30,11-30,Debit Card,379,Pro07,Oatmeal Cookies,19,23,8717,7201,1516,High Price,Joseph Hill,Male
2024-01-02,Jan,Jeffrey,Gomez,Jeffrey Gomez,Dallas,2000-07-29,25,11-30,Credit Card,491,Pro03,Choco Delight,3,5,2455,1473,982,Low Price,Tracy Lee,Male
2024-07-06,Jul,Alicia,Rogers,Alicia Rogers,Houston,2001-10-12,23,11-30,Debit Card,26,Pro02,Caramel Biscuits,18,22,572,468,104,High Price,Sara Robertson,Male
2024-06-14,Jun,Christine,Goodman,Christine Goodman,San Diego,1974-01-22,51,50-70,Mobile Payment,309,Pro05,Ginger Snaps,14,28,8652,4326,4326,High Price,Travis Doyle,Male
2024-07-21,Jul,Tracy,Murray,Tracy Murray,Philadelphia,1991-09-03,34,31-50,Credit Card,154,Pro06,Lemon Crisps,7,9,1386,1078,308,Low Price,Joseph Hill,Male
2024-01-25,Jan,Brian,Sexton,Brian Sexton,Phoenix,1975-05-26,50,31-50,Credit Card,200,Pro02,Caramel Biscuits,18,22,4400,3600,800,High Price,Joseph Hill,Male
2024-04-08,Apr,Maria,Arnold,Maria Arnold,Houston,1987-08-19,38,31-50,Debit Card,500,Pro05,Ginger Snaps,14,28,14000,7000,7000,High Price,April Watkins,Female
2024-04-30,Apr,Rodney,Fisher,Rodney Fisher,San Jose,1977-08-02,48,31-50,Mobile Payment,229,Pro06,Lemon Crisps,7,9,2061,1603,458,Low Price,Travis Doyle,Male
2024-06-20,Jun,Gregory,Buchanan,Gregory Buchanan,Houston,2002-01-11,23,11-30,Mobile Payment,453,Pro07,Oatmeal Cookies,19,23,10419,8607,1812,High Price,Tracy Lee,Male
2024-01-05,Jan,Susan,Smith,Susan Smith,New York,1965-08-13,60,50-70,Cash,233,Pro10,Vanilla Wafers,18,36,8388,4194,4194,High Price,Sara Robertson,Female
2024-06-20,Jun,Bryan,Sanchez,Bryan Sanchez,San Diego,1982-10-26,42,31-50,Credit Card,148,Pro07,Oatmeal Cookies,19,23,3404,2812,592,High Price,Travis Doyle,Male
2024-05-14,May,Trevor,Spencer,Trevor Spencer,Houston,1988-07-20,37,31-50,Debit Card,368,Pro09,Shortbread,10,45,16560,3680,12880,High Price,Joseph Hill,Male
2024-03-29,Mar,Ricardo,Stevens,Ricardo Stevens,Houston,1974-01-16,51,50-70,Cash,193,Pro07,Oatmeal Cookies,19,23,4439,3667,772,High Price,Tracy Lee,Male
2024-06-22,Jun,Matthew,Russo,Matthew Russo,Phoenix,1997-04-22,28,11-30,Debit Card,405,Pro03,Choco Delight,3,5,2025,1215,810,Low Price,Sara Robertson,Male
2024-06-29,Jun,Christopher,Garcia,Christopher Garcia,Los Angeles,1989-10-20,35,31-50,Cash,19,Pro04,Cinnamon Swirls,10,14,266,190,76,High Price,Travis Doyle,Male
2024-03-02,Mar,Kevin,Smith,Kevin Smith,San Jose,1989-12-02,35,31-50,Debit Card,87,Pro10,Vanilla Wafers,18,36,3132,1566,1566,High Price,Joseph Hill,Male
2024-06-18,Jun,Annette,Brown,Annette Brown,San Antonio,1943-11-28,81,70above,Mobile Payment,329,Pro06,Lemon Crisps,7,9,2961,2303,658,Low Price,Joseph Hill,Male
2024-02-08,Feb,Lauren,Murphy,Lauren Murphy,Chicago,2004-05-05,21,11-30,Credit Card,229,Pro08,Peanut Butter Bites,5,7,1603,1145,458,Low Price,April Watkins,Male
2024-07-31,Jul,Mary,Tran,Mary Tran,Dallas,1976-11-30,48,31-50,Debit Card,243,Pro09,Shortbread,10,45,10935,2430,8505,High Price,Travis Doyle,Female
2024-06-11,Jun,Charles,Lee,Charles Lee,San Antonio,1946-09-26,78,70above,Debit Card,256,Pro01,Butter Crunch,10,11,2816,2560,256,High Price,Tracy Lee,Male
2024-07-30,Jul,Timothy,Lawrence,Timothy Lawrence,New York,1987-05-06,38,31-50,Cash,382,Pro08,Peanut Butter Bites,5,7,2674,1910,764,Low Price,Sara Robertson,Male
2024-03-08,Mar,Mary,Smith,Mary Smith,San Diego,1946-02-09,79,70above,Credit Card,86,Pro09,Shortbread,10,45,3870,860,3010,High Price,Travis Doyle,Female
2024-06-23,Jun,Robert,Lopez,Robert Lopez,San Diego,1977-02-18,48,31-50,Cash,394,Pro03,Choco Delight,3,5,1970,1182,788,Low Price,Joseph Hill,Male
2024-03-22,Mar,Donna,Weber,Donna Weber,Chicago,2004-07-21,21,11-30,Credit Card,159,Pro02,Caramel Biscuits,18,22,3498,2862,636,High Price,Tracy Lee,Male
2024-02-24,Feb,Vanessa,Bryant,Vanessa Bryant,San Jose,1990-05-15,35,31-50,Mobile Payment,140,Pro10,Vanilla Wafers,18,36,5040,2520,2520,High Price,Sara Robertson,Male
2024-01-04,Jan,Dustin,Krueger,Dustin Krueger,San Jose,1948-12-13,76,70above,Debit Card,225,Pro09,Shortbread,10,45,10125,2250,7875,High Price,Travis Doyle,Male
2024-01-12,Jan,Lisa,Francis,Lisa Francis,Houston,1997-04-12,28,11-30,Debit Card,287,Pro07,Oatmeal Cookies,19,23,6601,5453,1148,High Price,Joseph Hill,Male
2024-05-13,May,Kenneth,Hicks,Kenneth Hicks,New York,1997-07-02,28,11-30,Cash,464,Pro07,Oatmeal Cookies,19,23,10672,8816,1856,High Price,Joseph Hill,Male
2024-02-19,Feb,Angela,Williams,Angela Williams,Dallas,1975-01-28,50,31-50,Cash,401,Pro05,Ginger Snaps,14,28,11228,5614,5614,High Price,April Watkins,Male
2024-03-09,Mar,Danielle,Rogers,Danielle Rogers,Dallas,1995-01-17,30,11-30,Mobile Payment,406,Pro10,Vanilla Wafers,18,36,14616,7308,7308,High Price,Travis Doyle,Male
2024-05-12,May,Roy,Pittman,Roy Pittman,San Jose,1961-07-26,64,50-70,Debit Card,392,Pro03,Choco Delight,3,5,1960,1176,784,Low Price,Tracy Lee,Male
2024-05-11,May,Clifford,Rodriguez,Clifford Rodriguez,San Diego,1981-04-23,44,31-50,Mobile Payment,379,Pro10,Vanilla Wafers,18,36,13644,6822,6822,High Price,Sara Robertson,Male
2024-01-19,Jan,Brittany,Hernandez,Brittany Hernandez,Chicago,1952-07-14,73,70above,Cash,210,Pro03,Choco Delight,3,5,1050,630,420,Low Price,Travis Doyle,Male
2024-01-13,Jan,Alyssa,Gonzalez,Alyssa Gonzalez,Houston,1994-09-19,30,11-30,Debit Card,132,Pro07,Oatmeal Cookies,19,23,3036,2508,528,High Price,Joseph Hill,Male
2024-05-07,May,Alexandria,Cardenas,Alexandria Cardenas,Los Angeles,1944-07-18,81,70above,Debit Card,232,Pro06,Lemon Crisps,7,9,2088,1624,464,Low Price,Tracy Lee,Male
2024-01-01,Jan,Tiffany,Vaughn,Tiffany Vaughn,Philadelphia,1964-10-05,60,50-70,Mobile Payment,349,Pro03,Choco Delight,3,5,1745,1047,698,Low Price,Sara Robertson,Male
2024-07-22,Jul,Ian,Martin,Ian Martin,Phoenix,1949-04-10,76,70above,Debit Card,470,Pro10,Vanilla Wafers,18,36,16920,8460,8460,High Price,Travis Doyle,Male
2024-03-19,Mar,Derek,Franco,Derek Franco,Chicago,1958-08-21,67,50-70,Debit Card,479,Pro09,Shortbread,10,45,21555,4790,16765,High Price,Joseph Hill,Male
2024-03-20,Mar,Olivia,Maxwell,Olivia Maxwell,San Jose,1968-09-15,56,50-70,Credit Card,273,Pro06,Lemon Crisps,7,9,2457,1911,546,Low Price,Joseph Hill,Male
2024-02-26,Feb,Jared,Haynes,Jared Haynes,San Diego,1964-01-04,61,50-70,Debit Card,409,Pro09,Shortbread,10,45,18405,4090,14315,High Price,April Watkins,Male
2024-07-09,Jul,Kara,Ruiz,Kara Ruiz,Houston,1969-09-07,55,50-70,Mobile Payment,167,Pro08,Peanut Butter Bites,5,7,1169,835,334,Low Price,Travis Doyle,Male
2024-01-26,Jan,Pamela,Johnson,Pamela Johnson,San Antonio,1980-09-22,44,31-50,Mobile Payment,485,Pro10,Vanilla Wafers,18,36,17460,8730,8730,High Price,Tracy Lee,Male
2024-03-16,Mar,Stacy,Middleton,Stacy Middleton,Chicago,1957-03-14,68,50-70,Mobile Payment,32,Pro01,Butter Crunch,10,11,352,320,32,High Price,Sara Robertson,Male
2024-06-15,Jun,Kelly,Tucker,Kelly Tucker,San Antonio,2002-06-28,23,11-30,Cash,393,Pro07,Oatmeal Cookies,19,23,9039,7467,1572,High Price,Travis Doyle,Male
2024-04-03,Apr,David,Johnson,David Johnson,Dallas,1980-04-16,45,31-50,Credit Card,355,Pro10,Vanilla Wafers,18,36,12780,6390,6390,High Price,Joseph Hill,Male
2024-07-18,Jul,Calvin,Mccarthy,Calvin Mccarthy,Dallas,2002-03-13,23,11-30,Mobile Payment,36,Pro07,Oatmeal Cookies,19,23,828,684,144,High Price,Tracy Lee,Male
2024-07-12,Jul,Jonathan,Weber,Jonathan Weber,Phoenix,1957-01-22,68,50-70,Credit Card,60,Pro03,Choco Delight,3,5,300,180,120,Low Price,Sara Robertson,Male
2024-06-11,Jun,Mary,Norman,Mary Norman,Houston,1967-11-26,57,50-70,Credit Card,257,Pro03,Choco Delight,3,5,1285,771,514,Low Price,Travis Doyle,Female
2024-03-16,Mar,Emily,White,Emily White,Philadelphia,1949-01-03,76,70above,Debit Card,96,Pro01,Butter Crunch,10,11,1056,960,96,High Price,Joseph Hill,Male
2024-04-16,Apr,Bobby,Adams,Bobby Adams,Chicago,1994-01-09,31,31-50,Debit Card,271,Pro06,Lemon Crisps,7,9,2439,1897,542,Low Price,Joseph Hill,Male
2024-07-18,Jul,Andrew,Luna,Andrew Luna,Phoenix,1944-09-13,80,70above,Debit Card,163,Pro05,Ginger Snaps,14,28,4564,2282,2282,High Price,April Watkins,Male
2024-01-29,Jan,Amanda,Cox,Amanda Cox,San Diego,1965-03-22,60,50-70,Debit Card,426,Pro05,Ginger Snaps,14,28,11928,5964,5964,High Price,Travis Doyle,Male
2024-06-16,Jun,Lauren,Wood,Lauren Wood,Houston,1970-09-21,54,50-70,Credit Card,175,Pro08,Peanut Butter Bites,5,7,1225,875,350,Low Price,Tracy Lee,Male
2024-06-26,Jun,Heather,Gregory,Heather Gregory,Chicago,1972-02-19,53,50-70,Cash,229,Pro08,Peanut Butter Bites,5,7,1603,1145,458,Low Price,Sara Robertson,Male
2024-01-15,Jan,Stephen,Smith,Stephen Smith,San Antonio,1962-08-23,63,50-70,Credit Card,383,Pro06,Lemon Crisps,7,9,3447,2681,766,Low Price,Travis Doyle,Male
2024-03-30,Mar,Sean,Miller,Sean Miller,San Antonio,2001-05-08,24,11-30,Cash,344,Pro09,Shortbread,10,45,15480,3440,12040,High Price,Joseph Hill,Male
2024-04-06,Apr,Amy,Lawrence,Amy Lawrence,New York,1971-09-05,54,50-70,Credit Card,278,Pro01,Butter Crunch,10,11,3058,2780,278,High Price,Tracy Lee,Male
2024-02-18,Feb,Timothy,Mcdaniel,Timothy Mcdaniel,Dallas,1979-11-08,45,31-50,Cash,132,Pro04,Cinnamon Swirls,10,14,1848,1320,528,High Price,Sara Robertson,Male
2024-04-11,Apr,Gabriel,Dunlap,Gabriel Dunlap,Phoenix,1993-04-12,32,31-50,Credit Card,12,Pro03,Choco Delight,3,5,60,36,24,Low Price,Travis Doyle,Male
2024-05-24,May,Andrew,Cunningham,Andrew Cunningham,Dallas,1973-08-20,52,50-70,Credit Card,413,Pro02,Caramel Biscuits,18,22,9086,7434,1652,High Price,Joseph Hill,Male
2024-04-10,Apr,Andrew,Wells,Andrew Wells,Houston,1963-07-13,62,50-70,Debit Card,362,Pro10,Vanilla Wafers,18,36,13032,6516,6516,High Price,Joseph Hill,Male
2024-05-06,May,Vickie,Graves,Vickie Graves,Houston,1949-09-20,75,70above,Debit Card,92,Pro03,Choco Delight,3,5,460,276,184,Low Price,April Watkins,Male
2024-04-01,Apr,Alexandra,Garcia,Alexandra Garcia,New York,1999-02-18,26,11-30,Debit Card,432,Pro02,Caramel Biscuits,18,22,9504,7776,1728,High Price,Travis Doyle,Male
2024-01-28,Jan,Jon,Shepherd,Jon Shepherd,Los Angeles,1981-06-23,44,31-50,Debit Card,279,Pro06,Lemon Crisps,7,9,2511,1953,558,Low Price,Tracy Lee,Male
2024-07-09,Jul,Pedro,Tran,Pedro Tran,Chicago,1988-03-17,37,31-50,Cash,49,Pro02,Caramel Biscuits,18,22,1078,882,196,High Price,Sara Robertson,Male
2024-03-24,Mar,Laura,Anderson,Laura Anderson,New York,1944-07-03,81,70above,Mobile Payment,422,Pro08,Peanut Butter Bites,5,7,2954,2110,844,Low Price,Travis Doyle,Male
2024-07-20,Jul,Tara,Taylor,Tara Taylor,San Diego,1966-04-30,59,50-70,Debit Card,200,Pro08,Peanut Butter Bites,5,7,1400,1000,400,Low Price,Joseph Hill,Male
2024-02-15,Feb,Ashley,Richardson,Ashley Richardson,San Antonio,1978-09-13,46,31-50,Debit Card,302,Pro04,Cinnamon Swirls,10,14,4228,3020,1208,High Price,Tracy Lee,Male
2024-05-07,May,Thomas,Webb,Thomas Webb,Chicago,1990-09-27,34,31-50,Mobile Payment,460,Pro08,Peanut Butter Bites,5,7,3220,2300,920,Low Price,Sara Robertson,Male
2024-05-21,May,Daniel,Benson,Daniel Benson,San Jose,1954-06-05,71,70above,Cash,252,Pro10,Vanilla Wafers,18,36,9072,4536,4536,High Price,Travis Doyle,Male
2024-05-12,May,Barbara,Jones,Barbara Jones,San Diego,1965-03-21,60,50-70,Mobile Payment,114,Pro05,Ginger Snaps,14,28,3192,1596,1596,High Price,Joseph Hill,Female
2024-07-19,Jul,Crystal,Bates,Crystal Bates,New York,1949-02-28,76,70above,Debit Card,459,Pro04,Cinnamon Swirls,10,14,6426,4590,1836,High Price,Joseph Hill,Male
2024-07-27,Jul,Leon,Villanueva,Leon Villanueva,Houston,1973-08-11,52,50-70,Mobile Payment,225,Pro08,Peanut Butter Bites,5,7,1575,1125,450,Low Price,April Watkins,Male
2024-01-08,Jan,Lisa,Jordan,Lisa Jordan,New York,1958-06-21,67,50-70,Cash,143,Pro04,Cinnamon Swirls,10,14,2002,1430,572,High Price,Travis Doyle,Male
2024-06-27,Jun,Briana,Cortez,Briana Cortez,San Diego,2005-01-29,20,11-30,Cash,252,Pro04,Cinnamon Swirls,10,14,3528,2520,1008,High Price,Tracy Lee,Male
2024-05-14,May,Erika,Williams,Erika Williams,San Jose,1990-08-18,35,31-50,Credit Card,244,Pro06,Lemon Crisps,7,9,2196,1708,488,Low Price,Sara Robertson,Male
2024-02-18,Feb,Katherine,Baker,Katherine Baker,San Diego,1943-09-06,82,70above,Credit Card,326,Pro10,Vanilla Wafers,18,36,11736,5868,5868,High Price,Travis Doyle,Male
2024-06-26,Jun,Joseph,Roberts,Joseph Roberts,San Diego,1996-07-28,29,11-30,Cash,406,Pro06,Lemon Crisps,7,9,3654,2842,812,Low Price,Joseph Hill,Male
2024-01-12,Jan,Craig,Page,Craig Page,Houston,1973-06-16,52,50-70,Credit Card,314,Pro07,Oatmeal Cookies,19,23,7222,5966,1256,High Price,Tracy Lee,Male
2024-05-26,May,Kristy,Warner,Kristy Warner,Los Angeles,1998-11-20,26,11-30,Credit Card,347,Pro02,Caramel Biscuits,18,22,7634,6246,1388,High Price,Sara Robertson,Male
2024-07-09,Jul,Debra,Rogers,Debra Rogers,Houston,1998-08-16,27,11-30,Mobile Payment,268,Pro01,Butter Crunch,10,11,2948,2680,268,High Price,Travis Doyle,Male
2024-04-06,Apr,Dale,Bailey,Dale Bailey,San Jose,1943-12-06,81,70above,Debit Card,223,Pro05,Ginger Snaps,14,28,6244,3122,3122,High Price,Joseph Hill,Male
2024-01-16,Jan,Keith,Miranda,Keith Miranda,Los Angeles,1949-04-08,76,70above,Mobile Payment,359,Pro10,Vanilla Wafers,18,36,12924,6462,6462,High Price,Joseph Hill,Male
2024-02-14,Feb,Ryan,Farrell,Ryan Farrell,Houston,1997-08-30,28,11-30,Mobile Payment,223,Pro07,Oatmeal Cookies,19,23,5129,4237,892,High Price,April Watkins,Male
2024-05-12,May,Rebecca,May,Rebecca May,San Diego,1972-09-16,52,50-70,Debit Card,455,Pro08,Peanut Butter Bites,5,7,3185,2275,910,Low Price,Travis Doyle,Male
2024-02-03,Feb,Monica,Smith,Monica Smith,Dallas,1973-10-27,51,50-70,Debit Card,67,Pro06,Lemon Crisps,7,9,603,469,134,Low Price,Tracy Lee,Male
2024-06-03,Jun,Debra,Sanchez,Debra Sanchez,San Antonio,1988-11-04,36,31-50,Cash,383,Pro10,Vanilla Wafers,18,36,13788,6894,6894,High Price,Sara Robertson,Male
2024-05-08,May,Carol,Turner,Carol Turner,Houston,1978-02-13,47,31-50,Cash,306,Pro06,Lemon Crisps,7,9,2754,2142,612,Low Price,Travis Doyle,Male
2024-06-08,Jun,James,Porter,James Porter,Chicago,1963-10-15,61,50-70,Credit Card,142,Pro08,Peanut Butter Bites,5,7,994,710,284,Low Price,Joseph Hill,Male
2024-01-14,Jan,Paul,Bates,Paul Bates,Los Angeles,2003-01-13,22,11-30,Debit Card,196,Pro03,Choco Delight,3,5,980,588,392,Low Price,Tracy Lee,Male
2024-06-16,Jun,Ross,Johnson,Ross Johnson,Los Angeles,1954-08-12,71,70above,Cash,352,Pro04,Cinnamon Swirls,10,14,4928,3520,1408,High Price,Sara Robertson,Male
2024-01-31,Jan,Kathleen,Murphy,Kathleen Murphy,San Antonio,1998-09-18,26,11-30,Mobile Payment,343,Pro07,Oatmeal Cookies,19,23,7889,6517,1372,High Price,Travis Doyle,Male
2024-07-07,Jul,Dennis,Curtis,Dennis Curtis,Phoenix,1974-10-18,50,31-50,Debit Card,444,Pro07,Oatmeal Cookies,19,23,10212,8436,1776,High Price,Joseph Hill,Male
2024-01-21,Jan,Judy,Oliver,Judy Oliver,Dallas,1994-04-07,31,31-50,Cash,327,Pro04,Cinnamon Swirls,10,14,4578,3270,1308,High Price,Joseph Hill,Male
2024-03-13,Mar,Timothy,Smith,Timothy Smith,Phoenix,1954-08-13,71,70above,Credit Card,225,Pro08,Peanut Butter Bites,5,7,1575,1125,450,Low Price,April Watkins,Male
2024-02-07,Feb,Anna,Brooks,Anna Brooks,San Jose,1977-01-13,48,31-50,Mobile Payment,374,Pro09,Shortbread,10,45,16830,3740,13090,High Price,Travis Doyle,Male
2024-06-08,Jun,Kerry,Mccoy,Kerry Mccoy,Houston,1951-04-27,74,70above,Debit Card,19,Pro04,Cinnamon Swirls,10,14,266,190,76,High Price,Tracy Lee,Male
2024-06-30,Jun,Angela,Delgado,Angela Delgado,Phoenix,2004-02-28,21,11-30,Mobile Payment,311,Pro09,Shortbread,10,45,13995,3110,10885,High Price,Sara Robertson,Male
2024-01-25,Jan,Deborah,Thomas,Deborah Thomas,Philadelphia,1946-02-18,79,70above,Mobile Payment,82,Pro08,Peanut Butter Bites,5,7,574,410,164,Low Price,Travis Doyle,Male
2024-03-13,Mar,Nathan,Gardner,Nathan Gardner,Houston,1984-05-26,41,31-50,Debit Card,61,Pro07,Oatmeal Cookies,19,23,1403,1159,244,High Price,Joseph Hill,Male
2024-07-03,Jul,Margaret,Grant,Margaret Grant,San Jose,2001-07-07,24,11-30,Mobile Payment,299,Pro09,Shortbread,10,45,13455,2990,10465,High Price,Tracy Lee,Female
2024-05-14,May,Kenneth,Reed,Kenneth Reed,Philadelphia,1988-09-24,36,31-50,Cash,124,Pro09,Shortbread,10,45,5580,1240,4340,High Price,Sara Robertson,Male
2024-05-10,May,Sarah,Woodward,Sarah Woodward,New York,1962-01-24,63,50-70,Credit Card,477,Pro05,Ginger Snaps,14,28,13356,6678,6678,High Price,Travis Doyle,Male
2024-01-04,Jan,Karen,Anderson,Karen Anderson,Philadelphia,1981-06-07,44,31-50,Cash,183,Pro06,Lemon Crisps,7,9,1647,1281,366,Low Price,Joseph Hill,Male
2024-03-02,Mar,Danielle,Johnson,Danielle Johnson,Phoenix,1959-07-03,66,50-70,Mobile Payment,20,Pro09,Shortbread,10,45,900,200,700,High Price,Joseph Hill,Male
2024-03-24,Mar,Michael,Hall,Michael Hall,San Jose,1953-04-13,72,70above,Mobile Payment,485,Pro09,Shortbread,10,45,21825,4850,16975,High Price,April Watkins,Male
2024-03-02,Mar,Theodore,Barnes,Theodore Barnes,Chicago,1994-10-09,30,11-30,Debit Card,389,Pro07,Oatmeal Cookies,19,23,8947,7391,1556,High Price,Travis Doyle,Male
2024-05-22,May,Gloria,Jones,Gloria Jones,Phoenix,1952-08-23,73,70above,Debit Card,205,Pro07,Oatmeal Cookies,19,23,4715,3895,820,High Price,Tracy Lee,Male
2024-03-28,Mar,Paul,Hernandez,Paul Hernandez,San Diego,2006-04-29,19,11-30,Debit Card,419,Pro03,Choco Delight,3,5,2095,1257,838,Low Price,Sara Robertson,Male
2024-02-14,Feb,Danielle,Obrien,Danielle Obrien,Dallas,1963-02-25,62,50-70,Credit Card,84,Pro01,Butter Crunch,10,11,924,840,84,High Price,Travis Doyle,Male
2024-02-22,Feb,James,Dalton,James Dalton,Philadelphia,1945-11-04,79,70above,Debit Card,95,Pro04,Cinnamon Swirls,10,14,1330,950,380,High Price,Joseph Hill,Male
2024-07-13,Jul,Austin,Hanson,Austin Hanson,San Antonio,1990-10-26,34,31-50,Mobile Payment,375,Pro05,Ginger Snaps,14,28,10500,5250,5250,High Price,Tracy Lee,Male
2024-07-18,Jul,Brandi,Scott,Brandi Scott,San Diego,1958-02-14,67,50-70,Debit Card,299,Pro09,Shortbread,10,45,13455,2990,10465,High Price,Sara Robertson,Male
2024-03-07,Mar,James,Jackson,James Jackson,San Diego,1976-07-10,49,31-50,Mobile Payment,315,Pro10,Vanilla Wafers,18,36,11340,5670,5670,High Price,Travis Doyle,Male
2024-06-27,Jun,Autumn,Reed,Autumn Reed,Houston,1946-04-08,79,70above,Debit Card,211,Pro08,Peanut Butter Bites,5,7,1477,1055,422,Low Price,Joseph Hill,Male
2024-07-22,Jul,Shannon,Sexton,Shannon Sexton,Los Angeles,1957-03-04,68,50-70,Debit Card,391,Pro10,Vanilla Wafers,18,36,14076,7038,7038,High Price,Joseph Hill,Male
2024-04-30,Apr,Sarah,Smith,Sarah Smith,Dallas,1977-05-24,48,31-50,Debit Card,366,Pro06,Lemon Crisps,7,9,3294,2562,732,Low Price,April Watkins,Male
2024-05-01,May,Timothy,Greene,Timothy Greene,Philadelphia,1980-12-19,44,31-50,Credit Card,397,Pro04,Cinnamon Swirls,10,14,5558,3970,1588,High Price,Travis Doyle,Male
2024-06-14,Jun,Lisa,Davis,Lisa Davis,Dallas,1982-02-12,43,31-50,Debit Card,33,Pro03,Choco Delight,3,5,165,99,66,Low Price,Tracy Lee,Male
2024-03-10,Mar,Angela,House,Angela House,San Antonio,1972-08-14,53,50-70,Cash,95,Pro03,Choco Delight,3,5,475,285,190,Low Price,Sara Robertson,Male
2024-07-10,Jul,Mariah,Watson,Mariah Watson,Dallas,1998-10-03,26,11-30,Cash,483,Pro04,Cinnamon Swirls,10,14,6762,4830,1932,High Price,Travis Doyle,Male
2024-01-07,Jan,Patricia,Le,Patricia Le,San Antonio,1975-09-21,49,31-50,Mobile Payment,48,Pro05,Ginger Snaps,14,28,1344,672,672,High Price,Joseph Hill,Male
2024-02-14,Feb,Paula,Riddle,Paula Riddle,Philadelphia,1988-10-13,36,31-50,Mobile Payment,362,Pro03,Choco Delight,3,5,1810,1086,724,Low Price,Tracy Lee,Male
2024-04-14,Apr,Holly,Burgess,Holly Burgess,Dallas,1990-01-19,35,31-50,Mobile Payment,120,Pro05,Ginger Snaps,14,28,3360,1680,1680,High Price,Sara Robertson,Male
2024-01-01,Jan,Bryan,Lopez,Bryan Lopez,San Diego,1985-03-31,40,31-50,Mobile Payment,38,Pro04,Cinnamon Swirls,10,14,532,380,152,High Price,Travis Doyle,Male
2024-02-02,Feb,Dawn,Clark,Dawn Clark,San Diego,1993-10-03,31,31-50,Debit Card,48,Pro07,Oatmeal Cookies,19,23,1104,912,192,High Price,Joseph Hill,Male
2024-03-20,Mar,Gary,Thompson,Gary Thompson,Philadelphia,2001-04-07,24,11-30,Debit Card,202,Pro07,Oatmeal Cookies,19,23,4646,3838,808,High Price,Joseph Hill,Male
2024-03-18,Mar,Malik,Turner,Malik Turner,Dallas,1945-05-02,80,70above,Cash,179,Pro10,Vanilla Wafers,18,36,6444,3222,3222,High Price,April Watkins,Male
2024-02-06,Feb,Caitlin,Reed,Caitlin Reed,Houston,1981-04-02,44,31-50,Credit Card,366,Pro10,Vanilla Wafers,18,36,13176,6588,6588,High Price,Travis Doyle,Male
2024-07-29,Jul,Beth,Smith,Beth Smith,New York,1950-04-25,75,70above,Debit Card,289,Pro06,Lemon Crisps,7,9,2601,2023,578,Low Price,Tracy Lee,Male
2024-06-07,Jun,Zoe,Long,Zoe Long,Houston,1968-03-25,57,50-70,Credit Card,455,Pro01,Butter Crunch,10,11,5005,4550,455,High Price,Sara Robertson,Male
2024-07-11,Jul,Brandy,Oneill,Brandy Oneill,Chicago,1973-05-29,52,50-70,Mobile Payment,88,Pro06,Lemon Crisps,7,9,792,616,176,Low Price,Travis Doyle,Male
2024-06-02,Jun,Patrick,Williams,Patrick Williams,Houston,1973-05-26,52,50-70,Credit Card,256,Pro02,Caramel Biscuits,18,22,5632,4608,1024,High Price,Joseph Hill,Male
2024-04-08,Apr,Eric,Nixon,Eric Nixon,Philadelphia,1993-09-16,31,31-50,Cash,403,Pro01,Butter Crunch,10,11,4433,4030,403,High Price,Tracy Lee,Male
2024-01-18,Jan,Dustin,Reyes,Dustin Reyes,Phoenix,1963-08-22,62,50-70,Cash,18,Pro08,Peanut Butter Bites,5,7,126,90,36,Low Price,Sara Robertson,Male
2024-04-24,Apr,Adrienne,Stokes,Adrienne Stokes,Dallas,1958-04-12,67,50-70,Credit Card,488,Pro08,Peanut Butter Bites,5,7,3416,2440,976,Low Price,Travis Doyle,Male
2024-05-20,May,Richard,Munoz,Richard Munoz,Houston,1974-04-09,51,50-70,Credit Card,18,Pro01,Butter Crunch,10,11,198,180,18,High Price,Joseph Hill,Male
2024-06-01,Jun,Cory,Alvarez,Cory Alvarez,Houston,1983-03-21,42,31-50,Debit Card,138,Pro07,Oatmeal Cookies,19,23,3174,2622,552,High Price,Joseph Hill,Male
2024-07-17,Jul,Melissa,Freeman,Melissa Freeman,San Diego,1970-12-05,54,50-70,Mobile Payment,457,Pro04,Cinnamon Swirls,10,14,6398,4570,1828,High Price,April Watkins,Male
